,Date,Confirmed
23,2020-01-22,0
211,2020-01-23,0
399,2020-01-24,0
587,2020-01-25,0
775,2020-01-26,0
963,2020-01-27,0
1151,2020-01-28,0
1339,2020-01-29,0
1527,2020-01-30,0
1715,2020-01-31,0
1903,2020-02-01,0
2091,2020-02-02,0
2279,2020-02-03,0
2467,2020-02-04,0
2655,2020-02-05,0
2843,2020-02-06,0
3031,2020-02-07,0
3219,2020-02-08,0
3407,2020-02-09,0
3595,2020-02-10,0
3783,2020-02-11,0
3971,2020-02-12,0
4159,2020-02-13,0
4347,2020-02-14,0
4535,2020-02-15,0
4723,2020-02-16,0
4911,2020-02-17,0
5099,2020-02-18,0
5287,2020-02-19,0
5475,2020-02-20,0
5663,2020-02-21,0
5851,2020-02-22,0
6039,2020-02-23,0
6227,2020-02-24,0
6415,2020-02-25,0
6603,2020-02-26,1
6791,2020-02-27,1
6979,2020-02-28,1
7167,2020-02-29,2
7355,2020-03-01,2
7543,2020-03-02,2
7731,2020-03-03,2
7919,2020-03-04,4
8107,2020-03-05,4
8295,2020-03-06,13
8483,2020-03-07,13
8671,2020-03-08,20
8859,2020-03-09,25
9047,2020-03-10,31
9235,2020-03-11,38
9423,2020-03-12,52
9611,2020-03-13,151
9799,2020-03-14,151
9987,2020-03-15,162
10175,2020-03-16,200
10363,2020-03-17,321
10551,2020-03-18,372
10739,2020-03-19,621
10927,2020-03-20,793
11115,2020-03-21,1021
11303,2020-03-22,1546
11491,2020-03-23,1924
11679,2020-03-24,2247
11867,2020-03-25,2554
12055,2020-03-26,2985
12243,2020-03-27,3417
12431,2020-03-28,3904
12619,2020-03-29,4256
12807,2020-03-30,4579
12995,2020-03-31,5717
13183,2020-04-01,6836
13371,2020-04-02,8044
13559,2020-04-03,9056
13747,2020-04-04,10360
13935,2020-04-05,11130
14123,2020-04-06,12161
14311,2020-04-07,14034
14499,2020-04-08,16170
14687,2020-04-09,18092
14875,2020-04-10,19638
15063,2020-04-11,20727
15251,2020-04-12,22192
15439,2020-04-13,23430
15627,2020-04-14,25262
15815,2020-04-15,28320
16003,2020-04-16,30425
16191,2020-04-17,33682
16379,2020-04-18,36658
16567,2020-04-19,38654
16755,2020-04-20,40743
16943,2020-04-21,43079
17131,2020-04-22,45757
17319,2020-04-23,50036
17507,2020-04-24,54043
17695,2020-04-25,59324
17883,2020-04-26,63100
18071,2020-04-27,67446
18259,2020-04-28,73235
18447,2020-04-29,79685
18635,2020-04-30,87187
18823,2020-05-01,92202
19011,2020-05-02,97100
19199,2020-05-03,101826
19387,2020-05-04,108620
19575,2020-05-05,115455
19763,2020-05-06,126611
19951,2020-05-07,135773
20139,2020-05-08,146894
20327,2020-05-09,156061
20515,2020-05-10,162699
20703,2020-05-11,169594
20891,2020-05-12,178214
21079,2020-05-13,190137
21267,2020-05-14,203165
21455,2020-05-15,220291
21643,2020-05-16,233511
21831,2020-05-17,241080
22019,2020-05-18,255368
22207,2020-05-19,271885
22395,2020-05-20,291579
22583,2020-05-21,310087
22771,2020-05-22,330890
22959,2020-05-23,347398
23147,2020-05-24,363211
23335,2020-05-25,374898
23523,2020-05-26,391222
23711,2020-05-27,411821
23899,2020-05-28,438238
24087,2020-05-29,465166
24275,2020-05-30,498440
24463,2020-05-31,514849
24651,2020-06-01,526447
24839,2020-06-02,555383
25027,2020-06-03,584016
25215,2020-06-04,614941
25403,2020-06-05,645771
25591,2020-06-06,672846
25779,2020-06-07,691758
25967,2020-06-08,707412
26155,2020-06-09,739503
26343,2020-06-10,772416
26531,2020-06-11,802828
26719,2020-06-12,828810
26907,2020-06-13,850514
27095,2020-06-14,867624
27283,2020-06-15,888271
27471,2020-06-16,923189
27659,2020-06-17,955377
27847,2020-06-18,978142
28035,2020-06-19,1032913
28223,2020-06-20,1067579
28411,2020-06-21,1083341
28599,2020-06-22,1106470
28787,2020-06-23,1145906
28975,2020-06-24,1188631
29163,2020-06-25,1228114
29351,2020-06-26,1274974
29539,2020-06-27,1313667
29727,2020-06-28,1344143
29915,2020-06-29,1368195
30103,2020-06-30,1402041
30291,2020-07-01,1448753
30479,2020-07-02,1496858
30667,2020-07-03,1539081
30855,2020-07-04,1577004
31043,2020-07-05,1603055
31231,2020-07-06,1623284
31419,2020-07-07,1668589
31607,2020-07-08,1713160
31795,2020-07-09,1755779
31983,2020-07-10,1800827
32171,2020-07-11,1839850
32359,2020-07-12,1864681
32547,2020-07-13,1884967
32735,2020-07-14,1926824
32923,2020-07-15,1966748
33111,2020-07-16,2012151
33299,2020-07-17,2046328
33487,2020-07-18,2074860
33675,2020-07-19,2098389
33863,2020-07-20,2118646
34051,2020-07-21,2159654
34239,2020-07-22,2227514
34427,2020-07-23,2287475
34615,2020-07-24,2343366
34803,2020-07-25,2394513
34991,2020-07-26,2419091
35179,2020-07-27,2442375
35367,2020-07-28,2483191
