,Date,Confirmed
140,2020-01-22,0
328,2020-01-23,0
516,2020-01-24,0
704,2020-01-25,0
892,2020-01-26,0
1080,2020-01-27,0
1268,2020-01-28,0
1456,2020-01-29,0
1644,2020-01-30,0
1832,2020-01-31,2
2020,2020-02-01,2
2208,2020-02-02,2
2396,2020-02-03,2
2584,2020-02-04,2
2772,2020-02-05,2
2960,2020-02-06,2
3148,2020-02-07,2
3336,2020-02-08,2
3524,2020-02-09,2
3712,2020-02-10,2
3900,2020-02-11,2
4088,2020-02-12,2
4276,2020-02-13,2
4464,2020-02-14,2
4652,2020-02-15,2
4840,2020-02-16,2
5028,2020-02-17,2
5216,2020-02-18,2
5404,2020-02-19,2
5592,2020-02-20,2
5780,2020-02-21,2
5968,2020-02-22,2
6156,2020-02-23,2
6344,2020-02-24,2
6532,2020-02-25,2
6720,2020-02-26,2
6908,2020-02-27,2
7096,2020-02-28,2
7284,2020-02-29,2
7472,2020-03-01,2
7660,2020-03-02,3
7848,2020-03-03,3
8036,2020-03-04,3
8224,2020-03-05,4
8412,2020-03-06,13
8600,2020-03-07,13
8788,2020-03-08,17
8976,2020-03-09,17
9164,2020-03-10,20
9352,2020-03-11,20
9540,2020-03-12,28
9728,2020-03-13,45
9916,2020-03-14,59
10104,2020-03-15,63
10292,2020-03-16,90
10480,2020-03-17,114
10668,2020-03-18,147
10856,2020-03-19,199
11044,2020-03-20,253
11232,2020-03-21,306
11420,2020-03-22,367
11608,2020-03-23,438
11796,2020-03-24,495
11984,2020-03-25,658
12172,2020-03-26,840
12360,2020-03-27,1036
12548,2020-03-28,1264
12736,2020-03-29,1534
12924,2020-03-30,1836
13112,2020-03-31,2337
13300,2020-04-01,2777
13488,2020-04-02,3548
13676,2020-04-03,4149
13864,2020-04-04,4731
14052,2020-04-05,5389
14240,2020-04-06,6343
14428,2020-04-07,7497
14616,2020-04-08,8672
14804,2020-04-09,10131
14992,2020-04-10,11917
15180,2020-04-11,13584
15368,2020-04-12,15770
15556,2020-04-13,18328
15744,2020-04-14,21102
15932,2020-04-15,24490
16120,2020-04-16,27938
16308,2020-04-17,32008
16496,2020-04-18,36793
16684,2020-04-19,42853
16872,2020-04-20,47121
17060,2020-04-21,52763
17248,2020-04-22,57999
17436,2020-04-23,62773
17624,2020-04-24,68622
17812,2020-04-25,74588
18000,2020-04-26,80949
18188,2020-04-27,87147
18376,2020-04-28,93558
18564,2020-04-29,99399
18752,2020-04-30,106498
18940,2020-05-01,114431
19128,2020-05-02,124054
19316,2020-05-03,134687
19504,2020-05-04,145268
19692,2020-05-05,155370
19880,2020-05-06,165929
20068,2020-05-07,177160
20256,2020-05-08,187859
20444,2020-05-09,198676
20632,2020-05-10,209688
20820,2020-05-11,221344
21008,2020-05-12,232243
21196,2020-05-13,242271
21384,2020-05-14,252245
21572,2020-05-15,262843
21760,2020-05-16,272043
21948,2020-05-17,281752
22136,2020-05-18,290678
22324,2020-05-19,299941
22512,2020-05-20,308705
22700,2020-05-21,317554
22888,2020-05-22,326448
23076,2020-05-23,335882
23264,2020-05-24,344481
23452,2020-05-25,353427
23640,2020-05-26,362342
23828,2020-05-27,370680
24016,2020-05-28,379051
24204,2020-05-29,387623
24392,2020-05-30,396575
24580,2020-05-31,405843
24768,2020-06-01,414328
24956,2020-06-02,423186
25144,2020-06-03,431715
25332,2020-06-04,440538
25520,2020-06-05,449256
25708,2020-06-06,458102
25896,2020-06-07,467073
26084,2020-06-08,476043
26272,2020-06-09,484630
26460,2020-06-10,493023
26648,2020-06-11,501800
26836,2020-06-12,510761
27024,2020-06-13,519458
27212,2020-06-14,528267
27400,2020-06-15,536484
27588,2020-06-16,544725
27776,2020-06-17,552549
27964,2020-06-18,560321
28152,2020-06-19,568292
28340,2020-06-20,576162
28528,2020-06-21,583879
28716,2020-06-22,591465
28904,2020-06-23,598878
29092,2020-06-24,606043
29280,2020-06-25,613148
29468,2020-06-26,619936
29656,2020-06-27,626779
29844,2020-06-28,633563
30032,2020-06-29,640246
30220,2020-06-30,646929
30408,2020-07-01,653479
30596,2020-07-02,660231
30784,2020-07-03,666941
30972,2020-07-04,673564
31160,2020-07-05,680283
31348,2020-07-06,686852
31536,2020-07-07,693215
31724,2020-07-08,699749
31912,2020-07-09,706240
32100,2020-07-10,712863
32288,2020-07-11,719449
32476,2020-07-12,726036
32664,2020-07-13,732547
32852,2020-07-14,738787
33040,2020-07-15,745197
33228,2020-07-16,751612
33416,2020-07-17,758001
33604,2020-07-18,764215
33792,2020-07-19,770311
33980,2020-07-20,776212
34168,2020-07-21,782040
34356,2020-07-22,787890
34544,2020-07-23,793720
34732,2020-07-24,799499
34920,2020-07-25,805332
35108,2020-07-26,811073
35296,2020-07-27,816680
35484,2020-07-28,822060
