,Unnamed: 0,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,New active
178,178,2020-01-22,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,-6294.0
366,366,2020-01-23,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
554,554,2020-01-24,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
742,742,2020-01-25,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
930,930,2020-01-26,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1118,1118,2020-01-27,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1306,1306,2020-01-28,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1494,1494,2020-01-29,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1682,1682,2020-01-30,United Kingdom,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1870,1870,2020-01-31,United Kingdom,2,0,0.0,2.0,2.0,0.0,0.0,2.0
2058,2058,2020-02-01,United Kingdom,2,0,0.0,2.0,0.0,0.0,0.0,0.0
2246,2246,2020-02-02,United Kingdom,2,0,0.0,2.0,0.0,0.0,0.0,0.0
2434,2434,2020-02-03,United Kingdom,8,0,0.0,8.0,6.0,0.0,0.0,6.0
2622,2622,2020-02-04,United Kingdom,8,0,0.0,8.0,0.0,0.0,0.0,0.0
2810,2810,2020-02-05,United Kingdom,9,0,0.0,9.0,1.0,0.0,0.0,1.0
2998,2998,2020-02-06,United Kingdom,9,0,0.0,9.0,0.0,0.0,0.0,0.0
3186,3186,2020-02-07,United Kingdom,9,0,0.0,9.0,0.0,0.0,0.0,0.0
3374,3374,2020-02-08,United Kingdom,13,0,0.0,13.0,4.0,0.0,0.0,4.0
3562,3562,2020-02-09,United Kingdom,14,0,0.0,14.0,1.0,0.0,0.0,1.0
3750,3750,2020-02-10,United Kingdom,14,0,0.0,14.0,0.0,0.0,0.0,0.0
3938,3938,2020-02-11,United Kingdom,15,0,0.0,15.0,1.0,0.0,0.0,1.0
4126,4126,2020-02-12,United Kingdom,16,0,1.0,15.0,1.0,0.0,1.0,0.0
4314,4314,2020-02-13,United Kingdom,17,0,1.0,16.0,1.0,0.0,0.0,1.0
4502,4502,2020-02-14,United Kingdom,18,0,1.0,17.0,1.0,0.0,0.0,1.0
4690,4690,2020-02-15,United Kingdom,18,0,1.0,17.0,0.0,0.0,0.0,0.0
4878,4878,2020-02-16,United Kingdom,18,0,8.0,10.0,0.0,0.0,7.0,-7.0
5066,5066,2020-02-17,United Kingdom,19,0,8.0,11.0,1.0,0.0,0.0,1.0
5254,5254,2020-02-18,United Kingdom,19,0,8.0,11.0,0.0,0.0,0.0,0.0
5442,5442,2020-02-19,United Kingdom,20,0,8.0,12.0,1.0,0.0,0.0,1.0
5630,5630,2020-02-20,United Kingdom,22,0,8.0,14.0,2.0,0.0,0.0,2.0
5818,5818,2020-02-21,United Kingdom,23,0,8.0,15.0,1.0,0.0,0.0,1.0
6006,6006,2020-02-22,United Kingdom,23,0,8.0,15.0,0.0,0.0,0.0,0.0
6194,6194,2020-02-23,United Kingdom,28,0,8.0,20.0,5.0,0.0,0.0,5.0
6382,6382,2020-02-24,United Kingdom,30,0,8.0,22.0,2.0,0.0,0.0,2.0
6570,6570,2020-02-25,United Kingdom,34,0,8.0,26.0,4.0,0.0,0.0,4.0
6758,6758,2020-02-26,United Kingdom,37,0,8.0,29.0,3.0,0.0,0.0,3.0
6946,6946,2020-02-27,United Kingdom,44,0,8.0,36.0,7.0,0.0,0.0,7.0
7134,7134,2020-02-28,United Kingdom,56,0,8.0,48.0,12.0,0.0,0.0,12.0
7322,7322,2020-02-29,United Kingdom,61,0,8.0,53.0,5.0,0.0,0.0,5.0
7510,7510,2020-03-01,United Kingdom,94,0,8.0,86.0,33.0,0.0,0.0,33.0
7698,7698,2020-03-02,United Kingdom,134,0,8.0,126.0,40.0,0.0,0.0,40.0
7886,7886,2020-03-03,United Kingdom,189,0,8.0,181.0,55.0,0.0,0.0,55.0
8074,8074,2020-03-04,United Kingdom,246,0,8.0,238.0,57.0,0.0,0.0,57.0
8262,8262,2020-03-05,United Kingdom,295,0,8.0,287.0,49.0,0.0,0.0,49.0
8450,8450,2020-03-06,United Kingdom,374,1,8.0,365.0,79.0,1.0,0.0,78.0
8638,8638,2020-03-07,United Kingdom,429,2,18.0,409.0,55.0,1.0,10.0,44.0
8826,8826,2020-03-08,United Kingdom,483,2,18.0,463.0,54.0,0.0,0.0,54.0
9014,9014,2020-03-09,United Kingdom,630,3,18.0,609.0,147.0,1.0,0.0,146.0
9202,9202,2020-03-10,United Kingdom,889,7,19.0,863.0,259.0,4.0,1.0,254.0
9390,9390,2020-03-11,United Kingdom,1301,7,19.0,1275.0,412.0,0.0,0.0,412.0
9578,9578,2020-03-12,United Kingdom,1790,9,19.0,1762.0,489.0,2.0,0.0,487.0
9766,9766,2020-03-13,United Kingdom,2270,10,19.0,2241.0,480.0,1.0,0.0,479.0
9954,9954,2020-03-14,United Kingdom,2634,28,19.0,2587.0,364.0,18.0,0.0,346.0
10142,10142,2020-03-15,United Kingdom,3077,43,19.0,3015.0,443.0,15.0,0.0,428.0
10330,10330,2020-03-16,United Kingdom,3692,66,21.0,3605.0,615.0,23.0,2.0,590.0
10518,10518,2020-03-17,United Kingdom,4462,82,53.0,4327.0,770.0,16.0,32.0,722.0
10706,10706,2020-03-18,United Kingdom,5467,116,67.0,5284.0,1005.0,34.0,14.0,957.0
10894,10894,2020-03-19,United Kingdom,6533,159,67.0,6307.0,1066.0,43.0,0.0,1023.0
11082,11082,2020-03-20,United Kingdom,7791,195,67.0,7529.0,1258.0,36.0,0.0,1222.0
11270,11270,2020-03-21,United Kingdom,9006,251,67.0,8688.0,1215.0,56.0,0.0,1159.0
11458,11458,2020-03-22,United Kingdom,10395,286,67.0,10042.0,1389.0,35.0,0.0,1354.0
11646,11646,2020-03-23,United Kingdom,12744,360,67.0,12317.0,2349.0,74.0,0.0,2275.0
11834,11834,2020-03-24,United Kingdom,15126,509,140.0,14477.0,2382.0,149.0,73.0,2160.0
12022,12022,2020-03-25,United Kingdom,17843,696,140.0,17007.0,2717.0,187.0,0.0,2530.0
12210,12210,2020-03-26,United Kingdom,20970,880,150.0,19940.0,3127.0,184.0,10.0,2933.0
12398,12398,2020-03-27,United Kingdom,24219,1164,151.0,22904.0,3249.0,284.0,1.0,2964.0
12586,12586,2020-03-28,United Kingdom,27062,1458,151.0,25453.0,2843.0,294.0,0.0,2549.0
12774,12774,2020-03-29,United Kingdom,29954,1673,151.0,28130.0,2892.0,215.0,0.0,2677.0
12962,12962,2020-03-30,United Kingdom,34281,2047,171.0,32063.0,4327.0,374.0,20.0,3933.0
13150,13150,2020-03-31,United Kingdom,38815,2430,179.0,36206.0,4534.0,383.0,8.0,4143.0
13338,13338,2020-04-01,United Kingdom,43789,3101,179.0,40509.0,4974.0,671.0,0.0,4303.0
13526,13526,2020-04-02,United Kingdom,48718,3753,192.0,44773.0,4929.0,652.0,13.0,4264.0
13714,13714,2020-04-03,United Kingdom,53699,4468,208.0,49023.0,4981.0,715.0,16.0,4250.0
13902,13902,2020-04-04,United Kingdom,57772,5229,215.0,52328.0,4073.0,761.0,7.0,3305.0
14090,14090,2020-04-05,United Kingdom,61422,5875,229.0,55318.0,3650.0,646.0,14.0,2990.0
14278,14278,2020-04-06,United Kingdom,66738,6446,287.0,60005.0,5316.0,571.0,58.0,4687.0
14466,14466,2020-04-07,United Kingdom,72224,7484,325.0,64415.0,5486.0,1038.0,38.0,4410.0
14654,14654,2020-04-08,United Kingdom,77387,8520,345.0,68522.0,5163.0,1036.0,20.0,4107.0
14842,14842,2020-04-09,United Kingdom,82293,9631,359.0,72303.0,4906.0,1111.0,14.0,3781.0
15030,15030,2020-04-10,United Kingdom,86660,10784,588.0,75288.0,4367.0,1153.0,229.0,2985.0
15218,15218,2020-04-11,United Kingdom,90273,11625,622.0,78026.0,3613.0,841.0,34.0,2738.0
15406,15406,2020-04-12,United Kingdom,93812,12311,626.0,80875.0,3539.0,686.0,4.0,2849.0
15594,15594,2020-04-13,United Kingdom,98017,13056,304.0,84657.0,4205.0,745.0,-322.0,3782.0
