,Date,Confirmed
174,2020-01-22,1
362,2020-01-23,1
550,2020-01-24,2
738,2020-01-25,2
926,2020-01-26,5
1114,2020-01-27,5
1302,2020-01-28,5
1490,2020-01-29,5
1678,2020-01-30,5
1866,2020-01-31,7
2054,2020-02-01,8
2242,2020-02-02,8
2430,2020-02-03,11
2618,2020-02-04,11
2806,2020-02-05,11
2994,2020-02-06,11
3182,2020-02-07,11
3370,2020-02-08,11
3558,2020-02-09,11
3746,2020-02-10,11
3934,2020-02-11,12
4122,2020-02-12,12
4310,2020-02-13,13
4498,2020-02-14,13
4686,2020-02-15,13
4874,2020-02-16,13
5062,2020-02-17,13
5250,2020-02-18,13
5438,2020-02-19,13
5626,2020-02-20,13
5814,2020-02-21,15
6002,2020-02-22,15
6190,2020-02-23,15
6378,2020-02-24,15
6566,2020-02-25,15
6754,2020-02-26,15
6942,2020-02-27,16
7130,2020-02-28,16
7318,2020-02-29,24
7506,2020-03-01,30
7694,2020-03-02,53
7882,2020-03-03,73
8070,2020-03-04,104
8258,2020-03-05,174
8446,2020-03-06,222
8634,2020-03-07,337
8822,2020-03-08,451
9010,2020-03-09,519
9198,2020-03-10,711
9386,2020-03-11,1109
9574,2020-03-12,1561
9762,2020-03-13,2157
9950,2020-03-14,2870
10138,2020-03-15,2968
10326,2020-03-16,4360
10514,2020-03-17,6141
10702,2020-03-18,8917
10890,2020-03-19,14157
11078,2020-03-20,19479
11266,2020-03-21,25825
11454,2020-03-22,33761
11642,2020-03-23,43850
11830,2020-03-24,54112
12018,2020-03-25,66055
12206,2020-03-26,84091
12394,2020-03-27,102276
12582,2020-03-28,122069
12770,2020-03-29,141205
12958,2020-03-30,162707
13146,2020-03-31,188724
13334,2020-04-01,214205
13522,2020-04-02,244610
13710,2020-04-03,276547
13898,2020-04-04,309699
14086,2020-04-05,337573
14274,2020-04-06,367215
14462,2020-04-07,397992
14650,2020-04-08,429686
14838,2020-04-09,464442
15026,2020-04-10,497943
15214,2020-04-11,527969
15402,2020-04-12,556522
15590,2020-04-13,581813
15778,2020-04-14,608878
15966,2020-04-15,637974
16154,2020-04-16,669272
16342,2020-04-17,701996
16530,2020-04-18,730337
16718,2020-04-19,756375
16906,2020-04-20,783716
17094,2020-04-21,809318
17282,2020-04-22,837422
17470,2020-04-23,871617
17658,2020-04-24,907908
17846,2020-04-25,940829
18034,2020-04-26,968518
18222,2020-04-27,990983
18410,2020-04-28,1015518
18598,2020-04-29,1043038
18786,2020-04-30,1072667
18974,2020-05-01,1106829
19162,2020-05-02,1136024
19350,2020-05-03,1161611
19538,2020-05-04,1184086
19726,2020-05-05,1208271
19914,2020-05-06,1233527
20102,2020-05-07,1261409
20290,2020-05-08,1288587
20478,2020-05-09,1314320
20666,2020-05-10,1334084
20854,2020-05-11,1352962
21042,2020-05-12,1375152
21230,2020-05-13,1396110
21418,2020-05-14,1423727
21606,2020-05-15,1449027
21794,2020-05-16,1474128
21982,2020-05-17,1493132
22170,2020-05-18,1514901
22358,2020-05-19,1535350
22546,2020-05-20,1559157
22734,2020-05-21,1584512
22922,2020-05-22,1608653
23110,2020-05-23,1630476
23298,2020-05-24,1651289
23486,2020-05-25,1670280
23674,2020-05-26,1689163
23862,2020-05-27,1707445
24050,2020-05-28,1730260
24238,2020-05-29,1754764
24426,2020-05-30,1779214
24614,2020-05-31,1799124
24802,2020-06-01,1816479
24990,2020-06-02,1837374
25178,2020-06-03,1857332
25366,2020-06-04,1878683
25554,2020-06-05,1903907
25742,2020-06-06,1926639
25930,2020-06-07,1944370
26118,2020-06-08,1961785
26306,2020-06-09,1979912
26494,2020-06-10,2000706
26682,2020-06-11,2023656
26870,2020-06-12,2048986
27058,2020-06-13,2074542
27246,2020-06-14,2094366
27434,2020-06-15,2114026
27622,2020-06-16,2137731
27810,2020-06-17,2163290
27998,2020-06-18,2191099
28186,2020-06-19,2222579
28374,2020-06-20,2255328
28562,2020-06-21,2281767
28750,2020-06-22,2312303
28938,2020-06-23,2347491
29126,2020-06-24,2382426
29314,2020-06-25,2422299
29502,2020-06-26,2467554
29690,2020-06-27,2510259
29878,2020-06-28,2549864
30066,2020-06-29,2590668
30254,2020-06-30,2636414
30442,2020-07-01,2687588
30630,2020-07-02,2742049
30818,2020-07-03,2795361
31006,2020-07-04,2841241
31194,2020-07-05,2891124
31382,2020-07-06,2936077
31570,2020-07-07,2996098
31758,2020-07-08,3054699
31946,2020-07-09,3117946
32134,2020-07-10,3185737
32322,2020-07-11,3245925
32510,2020-07-12,3304942
32698,2020-07-13,3364157
32886,2020-07-14,3431574
33074,2020-07-15,3498902
33262,2020-07-16,3576157
33450,2020-07-17,3647715
33638,2020-07-18,3711413
33826,2020-07-19,3773260
34014,2020-07-20,3834677
34202,2020-07-21,3899211
34390,2020-07-22,3970121
34578,2020-07-23,4038816
34766,2020-07-24,4112531
34954,2020-07-25,4178970
35142,2020-07-26,4233923
35330,2020-07-27,4290337
35518,2020-07-28,4351997
